"","OTUID","Occ.bio.nc.unfil","Domain","Phylum","Class","Order","Family","Genus","Species","Genus.ed","Family.ed"
"296","LAVU01000228.149.1665",0.028169014084507,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA,NA,"f_Micrococcaceae","Micrococcaceae"
"302","LMOH01000001.656692.658176",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aureimonas",NA,"Aureimonas","Rhizobiaceae"
"315","LT627107.1.1550",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas rhizophila","Stenotrophomonas","Xanthomonadaceae"
"318","MDDS01000052.248.1742",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,"Sphingomonas","Sphingomonadaceae"
"320","MLJW01000012.177783.179297",0.028169014084507,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium",NA,"Sediminibacterium","Chitinophagaceae"
"322","MVBC01000034.3.1520",0.028169014084507,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,"Hymenobacter","Hymenobacteraceae"
"4","AB374378.1.1507",0.0140845070422535,"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Trueperaceae","Truepera","uncultured endolithic bacterium","Truepera","Trueperaceae"
"5","AB374388.1.1497",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium",NA,"Mesorhizobium","Rhizobiaceae"
"6","AB630448.1.1379",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02","uncultured bacterium","SWB02","Hyphomonadaceae"
"9","AB696344.1.1371",0.0140845070422535,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","uncultured bacterium","uncultured bacterium","uncultured bacterium","Chloroplast","Chloroplast"
"10","AB698691.1.1446",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium",NA,"Methylobacterium","Beijerinckiaceae"
"11","AB754179.1.1440",0.0140845070422535,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family XIII","Anaerovorax","uncultured bacterium","Anaerovorax","Family XIII"
"13","ADHG01000001.652476.654027",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","uncultured bacterium","Lactobacillus","Lactobacillaceae"
"17","AGFF01000033.3677.5176",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Dietziaceae","Dietzia",NA,"Dietzia","Dietziaceae"
"21","AJ506191.1.1548",0.0140845070422535,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Sporomusa","uncultured Sporomusa sp.","Sporomusa","Veillonellaceae"
